time,abs_time,angle,is_rotating,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Harm_363-x,Freq_367-y,V_367-y_R,V_367-y_theta,V_367-y_X,V_367-y_Y,Harm_367-y,Freq_367-x,V_367-x_R,V_367-x_theta,V_367-x_X,V_367-x_Y,Vout_367-x,Harm_367-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
248432.129915,1620397214.18175,267.0031,0,85.78,3.23729e-06,1.416,3.2363014224420768e-06,7.999779496579035e-08,1,14.1177,5.2187e-06,-173.028,-5.180110791047654e-06,-6.334681384818415e-07,1,14.118,1.67267e-05,-0.048,1.672669413027903e-05,-1.4012925784544755e-08,5.0,1,38.793,47.721,4.059,4.277,5.487,4.855,9.309,3.945,2.27561,3.00002,-54.434,0.4,10.5,2.273,3.0,-0.2348,-0.2348,0.010988734662532806,-0.24096342755530903
248432.30386,1620397214.355695,267.0031,0,85.78,3.23543e-06,1.386,3.2344834097429516e-06,7.825827111309259e-08,1,14.1177,5.2187e-06,-173.022,-5.1800444260163015e-06,-6.340105949410021e-07,1,14.118,1.67267e-05,-0.048,1.672669413027903e-05,-1.4012925784544755e-08,5.0,1,38.797,47.721,4.059,4.277,5.471,4.855,9.309,3.945,2.27563,2.99993,-54.429,0.4,10.6,2.273,3.0,-0.2348,-0.2348,0.010988734662532806,-0.24094051621204488
248432.45681,1620397214.508645,267.0031,0,85.78,3.23543e-06,1.386,3.2344834097429516e-06,7.825827111309259e-08,1,14.1177,5.2187e-06,-173.016,-5.179978004179406e-06,-6.345530444474586e-07,1,14.118,1.67248e-05,-0.048,1.6724794130945774e-05,-1.4011334044453126e-08,5.0,1,38.797,47.714,4.059,4.277,5.471,4.852,9.309,3.945,2.27566,2.9999,-54.426,0.4,10.6,2.273,3.0,-0.2348,-0.2348,0.010988734662532806,-0.24092676940608637
248432.631755,1620397214.68359,267.0031,0,85.78,3.23543e-06,1.266,3.2346402193495263e-06,7.148381821397907e-08,1,14.1182,5.21823e-06,-172.992,-5.179245260101839e-06,-6.366654291012106e-07,1,14.118,1.67248e-05,-0.048,1.6724794130945774e-05,-1.4011334044453126e-08,5.0,1,38.792,47.715,4.054,4.085,5.456,4.848,9.141,3.945,2.27557,2.99937,-54.414,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.010594773106276989,-0.24087178218225233
248433.25453,1620397215.306365,267.0031,0,85.78,3.23543e-06,1.236,3.234677204790027e-06,6.979015483416701e-08,1,14.1177,5.2173e-06,-172.992,-5.1783222080148495e-06,-6.365519617283536e-07,1,14.118,1.67229e-05,-0.048,1.672289413161252e-05,-1.4009742304361497e-08,5.0,1,38.794,47.715,4.054,4.085,5.456,4.848,9.141,3.945,2.27553,2.99929,-54.413,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.010988734662532806,-0.24086719991359945
248433.399483,1620397215.451318,267.0031,0,85.78,3.23543e-06,1.236,3.234677204790027e-06,6.979015483416701e-08,1,14.1177,5.21683e-06,-172.992,-5.177855719325726e-06,-6.36494618002286e-07,1,14.118,1.67229e-05,-0.054,1.6722892572822213e-05,-1.576095960269824e-08,5.0,1,38.794,47.719,4.054,4.085,5.441,4.844,9.141,3.945,2.27566,2.99927,-54.409,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011776688508689404,-0.24084887083898815
248433.553435,1620397215.60527,267.0031,0,85.78,3.23543e-06,1.236,3.234677204790027e-06,6.979015483416701e-08,1,14.1177,5.2159e-06,-172.992,-5.176932667238736e-06,-6.363811506294289e-07,1,14.118,1.67229e-05,-0.054,1.6722892572822213e-05,-1.576095960269824e-08,5.0,1,38.789,47.719,3.907,4.111,5.425,4.844,9.059,3.946,2.27554,2.99946,-54.407,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.010988734662532806,-0.24083970630168247
248434.104257,1620397216.156092,267.0031,0,85.78,3.23729e-06,1.182,3.2366011480443252e-06,6.677988153744387e-08,1,14.1177,5.21404e-06,-173.004,-5.175219685388843e-06,-6.350703343440038e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.797,47.719,3.853,4.202,5.425,4.841,8.977,3.946,2.27553,2.99965,-54.404,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.240825959495724
248434.362681,1620397216.414516,267.0031,0,85.78,3.23915e-06,1.176,3.238467731695177e-06,6.647911904574165e-08,1,14.1177,5.21404e-06,-173.004,-5.175219685388843e-06,-6.350703343440038e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.797,47.719,3.853,4.202,5.409,4.841,8.977,3.946,2.27539,2.9996,-54.403,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.24082137722707112
248434.506636,1620397216.558471,267.0031,0,85.78,3.23915e-06,1.176,3.238467731695177e-06,6.647911904574165e-08,1,14.1177,5.21404e-06,-173.004,-5.175219685388843e-06,-6.350703343440038e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.797,47.728,3.859,4.313,5.409,4.837,8.902,3.946,2.27563,2.99943,-54.403,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.010594773106276989,-0.24082137722707112
248435.100444,1620397217.152279,267.0031,0,85.78,3.24474e-06,1.116,3.2441245124098546e-06,6.319664216967612e-08,1,14.1177,5.2159e-06,-172.992,-5.176932667238736e-06,-6.363811506294289e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.801,47.727,3.937,4.343,5.393,4.832,8.824,3.946,2.27537,2.99983,-54.402,0.4,10.5,2.273,3.0,-0.2354,-0.2354,0.010988734662532806,-0.2408167949584183
248435.272392,1620397217.324227,267.0031,0,85.78,3.24661e-06,1.086,3.2460268214929246e-06,6.153345633507358e-08,1,14.1177,5.21637e-06,-172.986,-5.177332479856436e-06,-6.369806668366074e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.795,47.727,3.937,4.343,5.377,4.832,8.824,3.946,2.2753,2.99991,-54.402,0.4,10.5,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.2408167949584183
248435.433338,1620397217.485173,267.0031,0,85.78,3.24847e-06,1.056,3.2479182794728974e-06,5.986811142681513e-08,1,14.1177,5.2173e-06,-172.974,-5.178121973781523e-06,-6.381787481896758e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.795,47.725,3.937,4.343,5.377,4.828,8.824,3.946,2.2751,2.99987,-54.402,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.010988734662532806,-0.2408167949584183
248435.58029,1620397217.632125,267.0031,0,85.78,3.24847e-06,1.056,3.2479182794728974e-06,5.986811142681513e-08,1,14.1182,5.21823e-06,-172.968,-5.178978119944092e-06,-6.388348503645987e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.795,47.725,4.043,4.312,5.377,4.828,8.751,3.946,2.27525,2.99979,-54.401,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.2408122126897655
248436.099127,1620397218.150962,267.0031,0,85.78,3.25592e-06,0.966,3.2554572542590745e-06,5.4891821722077335e-08,1,14.1177,5.22102e-06,-172.938,-5.1814117511005115e-06,-6.418894811083369e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.794,47.729,4.078,4.216,5.361,4.823,8.673,3.946,2.27542,2.99975,-54.399,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.012170678935945034,-0.2408030481524598
248436.363042,1620397218.414877,267.0031,0,85.78,3.25778e-06,0.936,3.2573453011099737e-06,5.321764497581514e-08,1,14.1172,5.22102e-06,-172.932,-5.18134450418109e-06,-6.424320737575448e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.794,47.72,4.078,4.216,5.345,4.823,8.673,3.946,2.27553,2.99976,-54.399,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.2408030481524598
248436.505997,1620397218.557832,267.0031,0,85.78,3.25778e-06,0.906,3.257372719292606e-06,5.151209574742417e-08,1,14.1177,5.22102e-06,-172.926,-5.181277200441868e-06,-6.429746593616922e-07,1,14.118,1.67211e-05,-0.054,1.6721092573621655e-05,-1.575926314291645e-08,5.0,1,38.794,47.72,4.079,4.216,5.345,4.818,8.604,3.946,2.27525,2.99974,-54.399,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.2408030481524598
248436.657948,1620397218.709783,267.0031,0,85.78,3.25964e-06,0.876,3.2592590270590975e-06,4.9834968985499043e-08,1,14.1177,5.22102e-06,-172.914,-5.181142422506975e-06,-6.440598094110207e-07,1,14.118,1.67211e-05,-0.048,1.672109413224418e-05,-1.4008234340064168e-08,5.0,1,38.793,47.729,3.954,4.089,5.329,4.814,8.604,3.946,2.27536,2.99945,-54.398,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.24079846588380696
248437.172782,1620397219.224617,267.0031,0,85.78,3.25964e-06,0.792,3.25932858622011e-06,4.505659383949964e-08,1,14.1177,5.22102e-06,-172.902,-5.181007417301745e-06,-6.45144931208727e-07,1,14.118,1.67211e-05,-0.048,1.672109413224418e-05,-1.4008234340064168e-08,5.0,1,38.799,47.729,3.954,4.079,5.313,4.814,8.534,3.946,2.27543,2.99922,-54.398,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.24079846588380696
248437.415705,1620397219.46754,267.0031,0,85.78,3.25964e-06,0.762,3.2593517310146905e-06,4.3350007284199995e-08,1,14.1177,5.22102e-06,-172.902,-5.181007417301745e-06,-6.45144931208727e-07,1,14.118,1.67211e-05,-0.042,1.672109550749939e-05,-1.22572053835944e-08,5.0,1,38.799,47.733,3.954,4.079,5.313,4.814,8.534,3.946,2.27565,2.99931,-54.397,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.010988734662532806,-0.24079388361515408
248437.557659,1620397219.610494,267.0031,0,85.78,3.25964e-06,0.732,3.2593739822395082e-06,4.164340884425e-08,1,14.1177,5.22102e-06,-172.902,-5.181007417301745e-06,-6.45144931208727e-07,1,14.118,1.67211e-05,-0.042,1.672109550749939e-05,-1.22572053835944e-08,5.0,1,38.797,47.733,3.857,4.153,5.313,4.809,8.469,3.946,2.27563,2.99936,-54.397,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.010988734662532806,-0.24079388361515408
248438.099486,1620397220.151321,267.0031,0,85.78,3.26151e-06,0.642,3.261305257045403e-06,3.6544499832596915e-08,1,14.1177,5.22195e-06,-172.896,-5.181862690149607e-06,-6.458024952998244e-07,1,14.118,1.67211e-05,-0.03,1.6721097707907803e-05,-8.755147086611154e-09,5.0,1,38.797,47.723,3.839,4.241,5.299,4.804,8.402,3.946,2.27544,2.99978,-54.396,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.24078930134650128
248438.358596,1620397220.410431,267.0031,0,85.78,3.26151e-06,0.618,3.2613202786555405e-06,3.5178404314950675e-08,1,14.1177,5.22242e-06,-172.896,-5.182329082103641e-06,-6.458606205543349e-07,1,14.118,1.67211e-05,-0.03,1.6721097707907803e-05,-8.755147086611154e-09,5.0,1,38.791,47.723,3.839,4.241,5.285,4.804,8.402,3.946,2.27551,2.99971,-54.395,0.4,10.6,2.273,3.0,-0.2354,-0.2354,0.011382726952433586,-0.24078471907784846
